Position,Count
1.5,0.0
2.5,0.0
3.5,0.0
4.5,0.0
5.5,0.0
6.5,0.0
7.5,0.0
8.5,0.0
9.5,95.0
10.5,140.0
11.5,112.0
12.5,141.0
13.5,90.0
14.5,71.0
15.5,81.0
16.5,68.0
17.5,94.0
18.5,94.0
19.5,59.0
20.5,86.0
21.5,81.0
22.5,87.0
23.5,74.0
24.5,87.0
25.5,62.0
26.5,73.0
27.5,84.0
28.5,73.0
29.5,68.0
30.5,72.0
31.5,73.0
32.5,71.0
33.5,58.0
34.5,77.0
35.5,85.0
36.5,68.0
37.5,61.0
38.5,68.0
39.5,68.0
40.5,74.0
41.5,62.0
42.5,63.0
43.5,65.0
44.5,81.0
45.5,64.0
46.5,62.0
47.5,80.0
48.5,69.0
49.5,75.0
50.5,70.0
51.5,63.0
52.5,69.0
53.5,84.0
54.5,78.0
55.5,60.0
56.5,68.0
57.5,47.0
58.5,85.0
59.5,68.0
60.5,75.0
61.5,68.0
62.5,60.0
63.5,68.0
64.5,65.0
65.5,66.0
66.5,58.0
67.5,64.0
68.5,73.0
69.5,73.0
70.5,75.0
71.5,64.0
72.5,73.0
73.5,55.0
74.5,71.0
75.5,77.0
76.5,76.0
77.5,55.0
78.5,72.0
79.5,70.0
80.5,55.0
81.5,73.0
82.5,53.0
83.5,61.0
84.5,63.0
85.5,72.0
86.5,57.0
87.5,51.0
88.5,69.0
89.5,74.0
90.5,76.0
91.5,48.0
92.5,59.0
93.5,36.0
94.5,48.0
95.5,39.0
96.5,35.0
97.5,39.0
98.5,23.0
